tanggal;T2M;RH2M;WS2M;PS
01/05/2025;24.91;85.52;1.12;95.75
02/05/2025;24.8;86.64;1.61;95.67
03/05/2025;24.93;85.7;1.39;95.66
04/05/2025;25.16;86.92;1.4;95.65
05/05/2025;25.47;88.87;1.79;95.7
06/05/2025;25.27;90.12;1.75;95.72
07/05/2025;25.27;90.61;1.72;95.58
08/05/2025;25.14;89.37;1.15;95.61
09/05/2025;24.2;92.22;0.66;95.72
10/05/2025;24.87;88.15;0.68;95.67
11/05/2025;24.43;93.09;0.69;95.56
12/05/2025;25.12;89.32;1.16;95.57
13/05/2025;24.87;92.72;1.58;95.6
14/05/2025;24.73;91.94;1.62;95.71
15/05/2025;25.15;88.5;0.98;95.75
16/05/2025;24.72;92.76;2.03;95.71
17/05/2025;24.48;91.58;1.34;95.74
18/05/2025;24.57;90.77;1.62;95.71
19/05/2025;24.61;90.55;1.89;95.71
20/05/2025;24.48;90.24;2.29;95.71
21/05/2025;24.48;89.87;2.75;95.65
22/05/2025;24.64;88.03;1.75;95.59
23/05/2025;24.31;93.89;1.77;95.52
24/05/2025;24.51;88.2;1.23;95.57
25/05/2025;24.57;88.4;1.62;95.64
26/05/2025;24.59;89.46;1.7;95.67
27/05/2025;24.32;91.18;1.76;95.71
28/05/2025;25.26;85.34;0.98;95.81
29/05/2025;25.0;85.7;1.21;95.87
30/05/2025;25.32;85.48;1.17;95.9
31/05/2025;25.03;89.73;1.13;95.97
