tanggal;T2M;RH2M;WS2M;PS
01/06/2025;25.3;88.76;0.64;96.46
02/06/2025;24.52;88.85;0.47;96.4
03/06/2025;25.26;85.82;0.62;96.34
04/06/2025;25.08;85.16;0.56;96.43
05/06/2025;24.46;86.43;1.01;96.43
06/06/2025;24.38;86.38;1.02;96.39
07/06/2025;24.32;87.96;1.1;96.41
08/06/2025;24.14;89.86;1.11;96.28
09/06/2025;24.28;88.33;0.93;96.22
10/06/2025;23.9;88.62;1.14;96.2
11/06/2025;23.55;87.45;1.43;96.23
12/06/2025;23.44;86.68;1.12;96.26
13/06/2025;24.33;89.48;1.0;96.41
14/06/2025;24.98;89.06;0.84;96.37
15/06/2025;24.8;88.8;0.83;96.32
16/06/2025;24.33;89.57;1.11;96.31
17/06/2025;23.97;88.27;1.16;96.4
18/06/2025;23.37;84.81;1.0;96.35
19/06/2025;23.26;84.82;0.9;96.37
20/06/2025;23.57;86.92;0.72;96.4
21/06/2025;23.89;88.53;0.92;96.42
22/06/2025;23.49;88.54;1.29;96.42
23/06/2025;22.98;88.11;1.24;96.38
24/06/2025;23.3;87.92;1.03;96.44
25/06/2025;23.72;89.19;1.13;96.5
26/06/2025;23.58;91.47;1.23;96.43
27/06/2025;23.8;89.79;1.25;96.37
28/06/2025;23.77;89.2;1.2;96.34
29/06/2025;23.42;88.94;1.41;96.29
30/06/2025;23.1;88.16;1.22;96.3
