tanggal,T2M,RH2M,WS2M,PS
2025-06-28,23.77,89.2,1.2,96.34
2025-06-27,23.8,89.79,1.25,96.37
2025-06-26,23.58,91.47,1.23,96.43
2025-06-25,23.72,89.19,1.13,96.5
2025-06-24,23.3,87.92,1.03,96.44
2025-06-23,22.98,88.11,1.24,96.38
2025-06-22,23.49,88.54,1.29,96.42
2025-06-21,23.89,88.53,0.92,96.42
2025-06-20,23.57,86.92,0.72,96.4
2025-06-19,23.26,84.82,0.9,96.37
2025-06-18,23.37,84.81,1.0,96.35
2025-06-17,23.97,88.27,1.16,96.4
2025-06-16,24.33,89.57,1.11,96.31
2025-06-15,24.8,88.8,0.83,96.32
2025-06-14,24.98,89.06,0.84,96.37
2025-06-13,24.33,89.48,1.0,96.41
2025-06-12,23.44,86.68,1.12,96.26
2025-06-11,23.55,87.45,1.43,96.23
2025-06-10,23.9,88.62,1.14,96.2
2025-06-09,24.28,88.33,0.93,96.22
2025-06-08,24.14,89.86,1.11,96.28
2025-06-07,24.32,87.96,1.1,96.41
2025-06-06,24.38,86.38,1.02,96.39
2025-06-05,24.46,86.43,1.01,96.43
2025-06-04,25.08,85.16,0.56,96.43
2025-06-03,25.26,85.82,0.62,96.34
2025-06-02,24.52,88.85,0.47,96.4
2025-06-01,25.3,88.76,0.64,96.46
2025-05-31,25.03,89.73,1.13,95.97
2025-05-30,25.32,85.48,1.17,95.9
2025-05-29,25.0,85.7,1.21,95.87
2025-05-28,25.26,85.34,0.98,95.81
2025-05-27,24.32,91.18,1.76,95.71
2025-05-26,24.59,89.46,1.7,95.67
2025-05-25,24.57,88.4,1.62,95.64
2025-05-24,24.51,88.2,1.23,95.57
2025-05-23,24.31,93.89,1.77,95.52
2025-05-22,24.64,88.03,1.75,95.59
2025-05-21,24.48,89.87,2.75,95.65
2025-05-20,24.48,90.24,2.29,95.71
2025-05-19,24.61,90.55,1.89,95.71
2025-05-18,24.57,90.77,1.62,95.71
2025-05-17,24.48,91.58,1.34,95.74
2025-05-16,24.72,92.76,2.03,95.71
2025-05-15,25.15,88.5,0.98,95.75
2025-05-14,24.73,91.94,1.62,95.71
2025-05-13,24.87,92.72,1.58,95.6
2025-05-12,25.12,89.32,1.16,95.57
2025-05-11,24.43,93.09,0.69,95.56
2025-05-10,24.87,88.15,0.68,95.67
2025-05-09,24.2,92.22,0.66,95.72
2025-05-08,25.14,89.37,1.15,95.61
2025-05-07,25.27,90.61,1.72,95.58
2025-05-06,25.27,90.12,1.75,95.72
2025-05-05,25.47,88.87,1.79,95.7
2025-05-04,25.16,86.92,1.4,95.65
2025-05-03,24.93,85.7,1.39,95.66
2025-05-02,24.8,86.64,1.61,95.67
2025-05-01,24.91,85.52,1.12,95.75
2025-04-30,23.91,85.16,1.8,95.75
2025-04-29,23.26,85.57,2.2,95.75
2025-04-28,23.2,85.45,1.91,95.76
2025-04-27,24.39,83.17,1.44,95.81
2025-04-26,25.08,85.61,1.57,95.83
2025-04-25,25.26,82.92,0.87,95.81
2025-04-24,24.69,77.8,0.55,95.78
2025-04-23,23.75,84.32,1.64,95.82
2025-04-22,24.82,88.27,1.73,95.86
2025-04-21,25.06,86.67,1.11,95.84
2025-04-20,24.8,88.65,1.16,95.73
2025-04-19,25.27,86.49,1.04,95.65
2025-04-18,24.59,86.95,1.24,95.71
2025-04-17,24.63,88.79,0.67,95.67
2025-04-16,25.23,86.74,1.11,95.7
2025-04-15,25.15,82.71,1.02,95.74
2025-04-14,24.57,90.58,1.16,95.74
2025-04-13,25.06,89.37,1.34,95.75
2025-04-12,25.4,86.25,1.15,95.74
2025-04-11,25.04,87.8,1.19,95.68
2025-04-10,24.87,91.8,1.07,95.68
2025-04-09,25.46,88.55,1.18,95.78
2025-04-08,24.99,88.02,1.6,95.89
2025-04-07,24.8,86.63,1.4,95.9
2025-04-06,24.62,85.05,1.27,95.83
