tanggal;Aktual;Pred_Linear;Pred_Nonlinear;Pred_Polynomial;Kombinasi
01/06/2025;96.46;95.8;95.6;95.8;Kombinasi A
02/06/2025;96.4;95.8;95.7;95.8;Kombinasi A
03/06/2025;96.34;95.8;95.7;95.8;Kombinasi A
04/06/2025;96.43;95.8;95.7;95.8;Kombinasi A
05/06/2025;96.43;95.8;95.7;95.8;Kombinasi A
06/06/2025;96.39;95.8;95.7;95.8;Kombinasi A
07/06/2025;96.41;95.8;95.7;95.8;Kombinasi A
01/06/2025;96.46;95.7;95.7;95.7;Kombinasi B
02/06/2025;96.4;95.7;95.8;95.7;Kombinasi B
03/06/2025;96.34;95.7;95.8;95.7;Kombinasi B
04/06/2025;96.43;95.8;95.8;95.8;Kombinasi B
05/06/2025;96.43;95.8;95.8;95.8;Kombinasi B
06/06/2025;96.39;95.8;95.8;95.8;Kombinasi B
07/06/2025;96.41;95.8;95.8;95.8;Kombinasi B
01/06/2025;96.46;95.8;94.1;95.8;Kombinasi C
02/06/2025;96.4;95.8;94.2;95.8;Kombinasi C
03/06/2025;96.34;95.8;94.3;95.8;Kombinasi C
04/06/2025;96.43;95.8;94.8;95.8;Kombinasi C
05/06/2025;96.43;95.8;95.0;95.8;Kombinasi C
06/06/2025;96.39;95.8;94.2;95.8;Kombinasi C
07/06/2025;96.41;95.9;94.8;95.8;Kombinasi C
01/06/2025;96.46;95.76;93.35;95.78;Kombinasi D
02/06/2025;96.4;95.77;93.42;95.78;Kombinasi D
03/06/2025;96.34;95.78;93.55;95.79;Kombinasi D
04/06/2025;96.43;95.81;94.28;95.81;Kombinasi D
05/06/2025;96.43;95.83;94.54;95.84;Kombinasi D
06/06/2025;96.39;95.84;93.43;95.85;Kombinasi D
07/06/2025;96.41;95.87;94.21;95.87;Kombinasi D
