tanggal;Aktual;Pred_Linear;Pred_Nonlinear;Pred_Polynomial;Kombinasi
01/06/2025;88.76;84.5;84.4;82.1;Kombinasi A
02/06/2025;88.85;84.4;84.4;82.1;Kombinasi A
03/06/2025;85.82;84.4;84.3;82.0;Kombinasi A
04/06/2025;85.16;84.3;84.3;82.0;Kombinasi A
05/06/2025;86.43;84.3;84.3;81.9;Kombinasi A
06/06/2025;86.38;84.3;84.2;81.9;Kombinasi A
07/06/2025;87.96;84.2;84.2;81.8;Kombinasi A
01/06/2025;88.76;88.6;88.7;88.2;Kombinasi B
02/06/2025;88.85;89.3;89.1;88.5;Kombinasi B
03/06/2025;85.82;90.3;90.0;89.4;Kombinasi B
04/06/2025;85.16;86.2;87.0;86.7;Kombinasi B
05/06/2025;86.43;85.9;86.7;86.2;Kombinasi B
06/06/2025;86.38;87.3;88.6;89.1;Kombinasi B
07/06/2025;87.96;88.7;88.8;88.5;Kombinasi B
01/06/2025;88.76;87.3;86.5;86.6;Kombinasi C
02/06/2025;88.85;87.8;86.6;86.9;Kombinasi C
03/06/2025;85.82;88.7;87.5;87.8;Kombinasi C
04/06/2025;85.16;85.3;85.3;85.8;Kombinasi C
05/06/2025;86.43;85.0;85.2;85.9;Kombinasi C
06/06/2025;86.38;86.2;87.0;85.6;Kombinasi C
07/06/2025;87.96;87.3;86.8;87.5;Kombinasi C
01/06/2025;88.76;87.07;86.25;86.27;Kombinasi D
02/06/2025;88.85;87.58;86.4;86.52;Kombinasi D
03/06/2025;85.82;88.43;87.28;87.31;Kombinasi D
04/06/2025;85.16;85.05;85.08;85.55;Kombinasi D
05/06/2025;86.43;84.8;84.92;85.7;Kombinasi D
06/06/2025;86.38;85.96;86.67;85.28;Kombinasi D
07/06/2025;87.96;87.02;86.47;87.08;Kombinasi D
