tanggal;Aktual;Pred_Linear;Pred_Nonlinear;Pred_Polynomial;Kombinasi
01/06/2025;25.3;24.7;24.7;24.5;Kombinasi A
02/06/2025;24.52;24.7;24.7;24.5;Kombinasi A
03/06/2025;25.26;24.7;24.7;24.5;Kombinasi A
04/06/2025;25.08;24.7;24.7;24.5;Kombinasi A
05/06/2025;24.46;24.7;24.7;24.5;Kombinasi A
06/06/2025;24.38;24.8;24.8;24.5;Kombinasi A
07/06/2025;24.32;24.8;24.8;24.5;Kombinasi A
01/06/2025;25.3;24.6;24.6;24.6;Kombinasi B
02/06/2025;24.52;24.7;24.7;24.6;Kombinasi B
03/06/2025;25.26;24.5;24.5;24.5;Kombinasi B
04/06/2025;25.08;25.0;25.0;24.9;Kombinasi B
05/06/2025;24.46;24.9;24.9;24.8;Kombinasi B
06/06/2025;24.38;25.0;24.9;24.9;Kombinasi B
07/06/2025;24.32;24.9;24.9;24.8;Kombinasi B
01/06/2025;25.3;24.5;24.5;24.2;Kombinasi C
02/06/2025;24.52;24.5;24.5;24.3;Kombinasi C
03/06/2025;25.26;24.4;24.4;24.2;Kombinasi C
04/06/2025;25.08;24.9;24.9;24.4;Kombinasi C
05/06/2025;24.46;24.8;24.8;24.3;Kombinasi C
06/06/2025;24.38;24.9;24.9;24.4;Kombinasi C
07/06/2025;24.32;24.8;24.8;24.3;Kombinasi C
01/06/2025;25.3;24.56;24.41;24.28;Kombinasi D
02/06/2025;24.52;24.59;24.45;24.29;Kombinasi D
03/06/2025;25.26;24.43;24.31;24.25;Kombinasi D
04/06/2025;25.08;24.94;24.83;24.42;Kombinasi D
05/06/2025;24.46;24.83;24.72;24.37;Kombinasi D
06/06/2025;24.38;24.94;24.83;24.39;Kombinasi D
07/06/2025;24.32;24.82;24.72;24.34;Kombinasi D
