tanggal;Aktual;Pred_Linear;Pred_Nonlinear;Pred_Polynomial;Kombinasi
01/06/2025;0.64;1.9;1.9;2.1;Kombinasi A
02/06/2025;0.47;1.9;1.9;2.1;Kombinasi A
03/06/2025;0.62;1.9;1.9;2.1;Kombinasi A
04/06/2025;0.56;1.9;1.9;2.1;Kombinasi A
05/06/2025;1.01;1.9;1.9;2.1;Kombinasi A
06/06/2025;1.02;1.9;1.9;2.1;Kombinasi A
07/06/2025;1.1;1.9;1.9;2.1;Kombinasi A
01/06/2025;0.64;1.7;1.7;1.7;Kombinasi B
02/06/2025;0.47;1.8;1.8;1.8;Kombinasi B
03/06/2025;0.62;1.9;1.9;1.8;Kombinasi B
04/06/2025;0.56;1.8;1.8;1.8;Kombinasi B
05/06/2025;1.01;1.6;1.6;1.6;Kombinasi B
06/06/2025;1.02;1.6;1.6;1.6;Kombinasi B
07/06/2025;1.1;1.4;1.4;1.5;Kombinasi B
01/06/2025;0.64;1.9;1.8;1.7;Kombinasi C
02/06/2025;0.47;1.9;1.9;1.8;Kombinasi C
03/06/2025;0.62;2.0;2.0;1.8;Kombinasi C
04/06/2025;0.56;1.9;1.9;1.9;Kombinasi C
05/06/2025;1.01;1.8;1.8;1.8;Kombinasi C
06/06/2025;1.02;1.8;1.8;1.8;Kombinasi C
07/06/2025;1.1;1.7;1.6;1.7;Kombinasi C
01/06/2025;0.64;1.87;1.79;1.76;Kombinasi D
02/06/2025;0.47;1.92;1.85;1.81;Kombinasi D
03/06/2025;0.62;1.99;1.93;1.86;Kombinasi D
04/06/2025;0.56;1.88;1.93;1.84;Kombinasi D
05/06/2025;1.01;1.82;1.79;1.79;Kombinasi D
06/06/2025;1.02;1.82;1.79;1.79;Kombinasi D
07/06/2025;1.1;1.73;1.68;1.75;Kombinasi D
