tanggal,T2M,RH2M,WS2M,PS
2025-05-24,24.51,88.2,1.23,95.57
2025-05-23,24.31,93.89,1.77,95.52
2025-05-22,24.64,88.03,1.75,95.59
2025-05-21,24.48,89.87,2.75,95.65
2025-05-20,24.48,90.24,2.29,95.71
2025-05-19,24.61,90.55,1.89,95.71
2025-05-18,24.57,90.77,1.62,95.71
2025-05-17,24.48,91.58,1.34,95.74
2025-05-16,24.72,92.76,2.03,95.71
2025-05-15,25.15,88.5,0.98,95.75
2025-05-14,24.73,91.94,1.62,95.71
2025-05-13,24.87,92.72,1.58,95.6
2025-05-12,25.12,89.32,1.16,95.57
2025-05-11,24.43,93.09,0.69,95.56
2025-05-10,24.87,88.15,0.68,95.67
2025-05-09,24.2,92.22,0.66,95.72
2025-05-08,25.14,89.37,1.15,95.61
2025-05-07,25.27,90.61,1.72,95.58
2025-05-06,25.27,90.12,1.75,95.72
2025-05-05,25.47,88.87,1.79,95.7
2025-05-04,25.16,86.92,1.4,95.65
2025-05-03,24.93,85.7,1.39,95.66
2025-05-02,24.8,86.64,1.61,95.67
2025-05-01,24.91,85.52,1.12,95.75
2025-04-30,23.91,85.16,1.8,95.75
2025-04-29,23.26,85.57,2.2,95.75
2025-04-28,23.2,85.45,1.91,95.76
2025-04-27,24.39,83.17,1.44,95.81
2025-04-26,25.08,85.61,1.57,95.83
2025-04-25,25.26,82.92,0.87,95.81
2025-04-24,24.69,77.8,0.55,95.78
2025-04-23,23.75,84.32,1.64,95.82
2025-04-22,24.82,88.27,1.73,95.86
2025-04-21,25.06,86.67,1.11,95.84
2025-04-20,24.8,88.65,1.16,95.73
2025-04-19,25.27,86.49,1.04,95.65
2025-04-18,24.59,86.95,1.24,95.71
2025-04-17,24.63,88.79,0.67,95.67
2025-04-16,25.23,86.74,1.11,95.7
2025-04-15,25.15,82.71,1.02,95.74
2025-04-14,24.57,90.58,1.16,95.74
2025-04-13,25.06,89.37,1.34,95.75
2025-04-12,25.4,86.25,1.15,95.74
2025-04-11,25.04,87.8,1.19,95.68
2025-04-10,24.87,91.8,1.07,95.68
2025-04-09,25.46,88.55,1.18,95.78
2025-04-08,24.99,88.02,1.6,95.89
2025-04-07,24.8,86.63,1.4,95.9
2025-04-06,24.62,85.05,1.27,95.83
2025-04-05,24.81,84.36,0.96,95.76
2025-04-04,24.28,86.38,1.38,95.81
2025-04-03,24.18,91.43,1.11,95.82
2025-04-02,24.86,84.21,0.76,95.8
2025-04-01,24.39,84.85,1.09,95.73
2025-03-31,24.74,86.09,1.35,95.66
2025-03-30,24.41,88.97,1.46,95.68
2025-03-29,24.44,88.16,1.82,95.63
2025-03-28,25.07,89.38,1.0,95.53
2025-03-27,25.58,86.19,0.96,95.47
2025-03-26,25.2,88.93,1.44,95.45
2025-03-25,24.37,90.89,1.77,95.53
2025-03-24,24.11,90.58,2.38,95.68
2025-03-23,23.72,89.81,2.4,95.77
2025-03-22,24.05,91.75,2.56,95.84
2025-03-21,24.54,91.53,2.13,95.91
2025-03-20,24.71,89.7,2.46,95.9
2025-03-19,24.25,88.5,1.97,95.94
2025-03-18,23.57,92.86,1.6,95.78
2025-03-17,24.41,92.53,1.51,95.58
2025-03-16,24.1,90.77,1.0,95.62
2025-03-15,24.34,94.08,1.27,95.71
2025-03-14,25.17,87.73,0.44,95.7
2025-03-13,24.35,85.53,1.25,95.67
2025-03-12,25.58,86.69,1.0,95.66
2025-03-11,25.29,84.99,0.94,95.73
2025-03-10,24.22,91.76,1.52,95.85
2025-03-09,24.83,86.65,0.92,95.76
2025-03-08,25.26,87.65,1.52,95.56
2025-03-07,24.81,94.1,1.49,95.54
2025-03-06,25.65,89.27,1.35,95.62
2025-03-05,25.83,87.05,1.14,95.6
2025-03-04,24.92,91.83,1.41,95.57
2025-03-03,25.99,85.89,1.28,95.55
2025-03-02,25.52,87.49,1.33,95.58
2025-03-01,25.16,90.46,1.75,95.69
2025-02-28,25.37,86.2,0.66,95.8
2025-02-27,25.15,87.09,0.83,95.8
2025-02-26,24.22,86.2,0.7,95.94
2025-02-25,23.34,92.03,1.3,95.98
2025-02-24,23.59,93.63,1.56,95.93
2025-02-23,24.13,93.3,0.81,95.87
2025-02-22,24.82,89.8,1.05,95.75
2025-02-21,24.31,91.52,1.41,95.78
2025-02-20,24.08,86.9,0.89,95.81
2025-02-19,23.75,92.97,1.34,95.75
2025-02-18,24.6,85.82,0.53,95.78
2025-02-17,24.51,91.28,1.01,95.81
2025-02-16,25.14,84.94,0.92,95.78
2025-02-15,25.06,86.77,1.45,95.68
2025-02-14,24.61,90.45,1.46,95.67
2025-02-13,24.32,91.22,1.97,95.77
2025-02-12,23.76,91.93,2.28,95.82
2025-02-11,23.93,90.79,2.55,95.76
2025-02-10,23.93,92.12,2.83,95.66
2025-02-09,24.31,91.68,2.79,95.59
2025-02-08,24.42,93.14,2.44,95.58
2025-02-07,24.4,91.26,1.75,95.6
2025-02-06,24.35,90.71,2.35,95.52
