File,Target,MSE,RMSE,MAE,R2
kumpulan1.csv,T2M,0.4066,0.6377,0.4775,-2.2290
kumpulan1.csv,RH2M,11.0645,3.3263,2.8329,-1.2150
kumpulan1.csv,WS2M,0.2120,0.4604,0.3661,0.0649
kumpulan1.csv,PS,0.0143,0.1195,0.0992,-0.3444
kumpulan2.csv,T2M,0.5370,0.7328,0.5904,-1.1811
kumpulan2.csv,RH2M,39.1298,6.2554,4.9341,-5.8332
kumpulan2.csv,WS2M,0.7551,0.8690,0.7482,-1.0600
kumpulan2.csv,PS,0.0289,0.1701,0.1345,-0.0653
kumpulan3.csv,T2M,0.2597,0.5096,0.3680,-0.1668
kumpulan3.csv,RH2M,8.7320,2.9550,2.4174,-1.1227
kumpulan3.csv,WS2M,0.6257,0.7910,0.6642,-1.3462
kumpulan3.csv,PS,0.1259,0.3548,0.2868,-0.1414
kumpulan4.csv,T2M,0.4108,0.6409,0.5076,-0.1031
kumpulan4.csv,RH2M,11.0945,3.3308,2.8661,-2.6471
kumpulan4.csv,WS2M,0.9034,0.9505,0.8723,-8.4640
kumpulan4.csv,PS,0.1674,0.4091,0.3686,-1.5510
kumpulan5.csv,T2M,0.4641,0.6812,0.5274,-0.6626
kumpulan5.csv,RH2M,9.6778,3.1109,2.5720,-0.2635
kumpulan5.csv,WS2M,0.2108,0.4592,0.3774,0.0910
kumpulan5.csv,PS,0.0111,0.1053,0.0807,-1.0712
kumpulan6.csv,T2M,0.5010,0.7078,0.5567,-0.5378
kumpulan6.csv,RH2M,16.4649,4.0577,3.1983,-0.3515
kumpulan6.csv,WS2M,0.2199,0.4689,0.3855,-0.1751
kumpulan6.csv,PS,0.0098,0.0987,0.0811,-0.4384
kumpulan7.csv,T2M,0.5173,0.7193,0.6117,-1.1883
kumpulan7.csv,RH2M,30.1063,5.4869,4.5129,-3.9441
kumpulan7.csv,WS2M,0.6148,0.7841,0.7132,-0.7817
kumpulan7.csv,PS,0.0203,0.1425,0.1159,-0.9731
kumpulan8.csv,T2M,0.6947,0.8335,0.6767,-1.7191
kumpulan8.csv,RH2M,41.6394,6.4529,5.1343,-5.4484
kumpulan8.csv,WS2M,0.3537,0.5947,0.4951,-0.1265
kumpulan8.csv,PS,0.0186,0.1362,0.1149,-0.5917
kumpulan9.csv,T2M,0.2177,0.4666,0.3525,-0.4880
kumpulan9.csv,RH2M,17.2511,4.1534,3.1238,-1.1228
kumpulan9.csv,WS2M,0.1724,0.4152,0.3412,-1.2609
kumpulan9.csv,PS,0.0085,0.0920,0.0758,-0.7475
kumpulan10.csv,T2M,0.2585,0.5085,0.3974,-0.3361
kumpulan10.csv,RH2M,9.0308,3.0051,2.3263,-0.6959
kumpulan10.csv,WS2M,0.2280,0.4775,0.3759,-0.4439
kumpulan10.csv,PS,0.0137,0.1169,0.0872,-0.1374
kumpulan11.csv,T2M,0.5536,0.7440,0.6361,-1.1668
kumpulan11.csv,RH2M,41.7245,6.4595,4.7980,-5.4616
kumpulan11.csv,WS2M,0.2691,0.5187,0.4374,0.1430
kumpulan11.csv,PS,0.0195,0.1398,0.1154,-0.6758
kumpulan12.csv,T2M,0.5586,0.7474,0.5578,-1.0914
kumpulan12.csv,RH2M,18.0948,4.2538,3.5384,-1.8231
kumpulan12.csv,WS2M,0.6036,0.7769,0.6488,-0.7842
kumpulan12.csv,PS,0.0197,0.1403,0.1175,-0.8245
